TIDM,Name,Industry,Subsector,Price,Graham number / Close,1y ago Graham number / Close  1y ago,EV / EBIT,1y ago EV / EBIT,EV / EBIT 5y av.,fc PE,PE,1y ago PE,PE 5y av.,PE 10y av.,PEG,1y ago PEG,Price to NAV,1y ago price to NAV,Yield,Dividend Cover,Broker consensus,Previous consensus,EBIT (m),Dir holdings 3m change %,City holdings 3m change %,Net debt to EBITDA,% Total Return 1y,EV / Free cash flow,Beta 1y daily (vs. UKX) TTM,
SPA,1Spatial Holdings PLC,Technology,Computer Services,£0.47,0.3741,0.23605,42.5,129.3,,20.6,52.2,151.7,,,0.3,0.8,3.0,3.2,,,Buy,Buy,1.2,0.0000,0.0000,-0.3,16,253.0,0.21,
III,3i Group PLC,Financials,Asset Managers and Custodians,£20.43,2.1174,3.1316,,,,5.9,4.3,3.3,11.4,8.7,,0.2,1.2,1.1,2.6,8.9,Outperform,Outperform,0.0,0.0010,0.0000,,87.3,30.4,1.22,
3IN,3i Infrastructure Ltd,Financials,Closed End Investments,£3.075,1.9169,1.9108,,,,6.4,6.9,7.7,9.1,8.5,0.8,,0.9,1.1,3.6,3.9,Outperform,Outperform,0.0,-0.0023,0.0000,,9.5,-12.8,0.51,
450,450 PLC,Financials,Open End and Miscellaneous Investment Vehicles,£0.018,,,,,,,,,,,,,2.5,2.9,,,,,-0.4,0.0000,0.0000,,2.86,-19.2,0.01,
4BB,4basebio PLC,Health Care,Biotechnology,£5.575,,,,,,,,,,,,,9.6,6.5,,,No Opinion,No Opinion,-5.8,0.0000,0.0000,,9.31,-9.9,0.10,
4GBL,4Global PLC,Technology,Software,£0.635,0.43631,0.1785,31.3,95.7,,16.7,28.9,210.0,,,0.4,0.5,3.7,6.3,,,Buy,Buy,0.5,-0.0135,5.6329,-0.3,-0.781,-9.0,0.01,
FOUR,4imprint Group PLC,Consumer Discretionary,Media Agencies,£51.45,0.35991,0.21509,15.6,32.2,238.6,18.3,20.7,45.0,78.9,50.1,1.6,0.2,12.3,12.9,2.6,1.9,Outperform,Outperform,108.9,-0.0071,-0.4304,-0.3,56.7,25.1,0.92,
SIXH,600 Group (The) PLC,Basic Materials,Metal Fabricating,£0.0265,8.2998,,10.4,,,,3.6,,,,,,0.1,0.5,,,Buy,Buy,2.1,0.0000,10.2017,4.0,-79.6,-4.3,0.26,
88E,88 Energy Ltd,Energy,Oil - Crude Producers,£0.00325,,0,,,,,,,,,,,0.9,2.9,,,Buy,Buy,-2.1,0.0053,0.0000,,-31.6,-2.2,0.43,
888,888 Holdings PLC,Consumer Discretionary,Casinos and Gambling,£0.91925,1.0016,1.2256,,12.6,,9.5,7.5,13.7,12.6,14.4,,,3.1,9.0,,,Outperform,Outperform,-0.2,0.0000,-2.0205,12.3,-11.5,-9.7,1.47,
ABDP,AB Dynamics PLC,Industrials,Machinery - Industrial,£16.65,4.2655,4.5125,64.9,81.9,56.9,31.7,0.4,0.5,27.2,21.3,,0.03,3.3,3.9,0.3,839.6,Outperform,Outperform,5.3,0.0000,6.4135,-2.0,21,26.4,0.21,
0Q77,AB Science SA,,,€2.23,,,,,,,,,,,,,,,,,,,,,,,-65.6,,0.95,
ALAI,Aberdeen Latin American Income Fund Ltd,,,£0.6025,,,,,,,,,,,,,,,,,,,,,,,8.56,,0.05,
ABD,Aberdeen New Dawn Investment Trust PLC,Financials,Closed End Investments,£2.46,,,,,,,,,,,,,0.8,0.9,1.7,,,,0.0,0.0032,9.5107,,-12.8,75.7,0.64,
ASCI,Aberdeen Smaller Companies Income Trust PLC,Financials,Closed End Investments,£2.59,,4.2542,,,,,,3.7,,,,,0.9,0.8,3.8,,,,0.0,0.0005,0.0000,,14.7,30.7,0.26,
ASL,Aberforth Smaller Companies Trust PLC,Financials,Closed End Investments,£12.28,,3.5515,,,,,,3.5,,,,,0.8,0.9,3.2,,,,0.0,0.0000,-0.1554,,15,27.0,0.77,
ASIZ,Aberforth Split Level Income Trust PLC,,,£1.195,,,,,,,,,,,,,,,,,,,,,,,2.58,,-0.00,
ASIT,Aberforth Split Level Income Trust PLC,Financials,Closed End Investments,£0.68,1.828,,,,,,7.6,,,,,,0.9,0.9,7.4,1.8,,,0.0,0.0535,0.0000,,26.7,13.9,0.56,
ABDX,Abingdon Health PLC,Industrials,Professional Business Support Services,£0.11,,,,,,,,,,,,,2.1,2.2,,,,,-12.8,0.0000,0.0000,,63,-1.4,-0.59,
AAS,Abrdn Asia Focus PLC,Financials,Closed End Investments,£2.57,,2.855,,,,,,3.1,,,,,0.9,0.9,2.5,,,,0.0,0.0000,1.0586,,1.93,39.7,0.41,
AAIF,Abrdn Asian Income Fund Ltd,Financials,Closed End Investments,£1.98,,1.8359,,,,,,8.9,,,,,0.8,0.9,5.0,,,,0.0,0.0000,0.0000,,-1.23,28.8,0.62,
ACIC,Abrdn China Investment Company Ltd,Financials,Closed End Investments,£4.38,,2.8849,,,,,,5.0,,,,,0.9,0.9,0.7,,,,0.0,0.0000,0.7557,,-20.4,-1.3,0.57,
ADIG,abrdn Diversified Income & Growth PLC,Financials,Closed End Investments,£0.834,,1.4976,,,,,,14.9,,,,,0.7,0.8,6.7,,Buy,Buy,0.0,0.0002,0.0000,,-1.92,-29.3,0.43,
AEI,Abrdn Equity Income Trust PLC,Financials,Closed End Investments,£3.12,,3.209,,,,,,3.1,,,,,0.9,0.9,7.3,,,,0.0,0.0420,0.0000,,9.67,,1.04,
ASLI,Abrdn European Logistics Income PLC,Financials,Asset Managers and Custodians,£0.619,1.5443,1.7135,,,,18.0,20.8,26.3,,,1.3,,0.6,1.1,7.6,0.6,Outperform,Outperform,0.0,0.0000,3.0013,,-19.5,27.3,0.91,
AJIT,Abrdn Japan Investment Trust PLC,Financials,Closed End Investments,£6.20,,,,,,,,,,,,,0.9,0.9,1.9,,,,0.0,0.0008,0.3824,,15.5,125.5,0.37,
ANII,abrdn New India Investment Trust PLC,Financials,Closed End Investments,£5.88,,1.7541,,,,,,8.1,,,,,0.9,0.8,,,,,0.0,0.0077,6.1935,,-1.01,272.6,0.47,
ABDN,abrdn PLC,Financials,Asset Managers and Custodians,£1.52975,1.6621,2.4427,,,,12.6,14.7,17.6,19.1,16.8,0.9,,0.5,0.7,9.5,0.7,Underperform,Underperform,0.0,0.0043,-3.1009,,22.3,58.8,1.60,
APEO,Abrdn Private Equity Opportunities Trust PLC,Financials,Closed End Investments,£4.45,2.8465,4.2109,,,,,4.7,2.7,5.6,6.8,,,0.6,0.7,3.3,6.5,,,0.0,0.0001,55.9950,,15.4,3.6,0.57,
